Year/Quarter,Abdn - Male - 0-44 (Discharge),Abdn - Male - 45-64 (Discharge),Abdn - Male - 65-74 (Discharge),Abdn - Male - 75 + (Discharge),Abdn - Male - 0-44 (Death),Abdn - Male - 45-64 (Death),Abdn - Male - 65-74 (Death),Abdn - Male - 75 + (Death),Abdn - Female - 0-44 (Discharge),Abdn - Female - 45-64 (Discharge),Abdn - Female - 65-74 (Discharge),Abdn - Female - 75 + (Discharge),Abdn - Female - 0-44 (Death),Abdn - Female - 45-64 (Death),Abdn - Female - 65-74 (Death),Abdn - Female - 75 + (Death),Glagw - Male - 0-44 (Discharge),Glagw - Male - 45-64 (Discharge),Glagw - Male - 65-74 (Discharge),Glagw - Male - 75 + (Discharge),Glagw - Male - 0-44 (Death),Glagw - Male - 45-64 (Death),Glagw - Male - 65-74 (Death),Glagw - Male - 75 + (Death),Glagw - Female - 0-44 (Discharge),Glagw - Female - 45-64 (Discharge),Glagw - Female - 65-74 (Discharge),Glagw - Female - 75 + (Discharge),Glagw - Female - 0-44 (Death),Glagw - Female - 45-64 (Death),Glagw - Female - 65-74 (Death),Glagw - Female - 75 + (Death),Glagw Ozone (ugm-3),Glagw Nitric oxide - (ugm-3),Glagw Nitrogen dioxide - (ugm-3),Glagw Nitrogen oxides as nitrogen dioxide (ugm-3),Glagw PM10 (ugm-3),Glagw Non-volatile PM10 (ugm-3),Glagw Volatile PM10 (ugm-3),Glagw PM2.5 (ugm-3),Glagw Non-volatile PM2.5 (ugm-3),Glagw Volatile PM2.5 (ugm-3),Glagw Black Carbon (ugm-3),Abdn Ozone (ugm-3),Abdn Nitric oxide (ugm-3),Abdn Nitrogen dioxide (ugm-3),Abdn Nitrogen oxides as nitrogen dioxide (ugm-3),Abdn PM10 (ugm-3),Abdn Non-volatile PM10 (ugm-3),Abdn Volatile PM10 (ugm-3),Abdn PM2.5 (ugm-3),Abdn Non-volatile PM2.5 (ugm-3),Abdn Volatile PM2.5 (ugm-3),Abdn qtly mean temp (deg cent),Glagw qtrly mean temp. deg cent
2018-Q1,9,88,67,53,0,10,15,15,0,19,35,50,0,0,5,23,44,497,251,166,0,28,34,46,31,190,107,275,0,8,16,68,41,39,44,104,15,12,2,8,7,2,1,52,7,29,40,15,13,2,7,6,1,2,2
2018-Q2,6,103,54,47,0,10,12,16,0,26,26,56,0,0,6,21,54,514,233,194,0,27,32,51,11,205,162,246,0,6,11,28,58,24,33,70,15,12,2,8,7,2,1,63,4,16,22,16,13,3,8,6,2,9,10
2018-Q3,11,74,75,51,0,7,5,9,0,33,24,43,0,0,0,6,77,590,243,166,0,23,24,38,22,247,138,246,0,0,7,29,38,20,25,55,10,8,1,5,5,2,1,41,5,14,21,11,9,3,5,4,1,13,13
2018-Q4,7,92,74,58,0,7,10,19,0,23,28,36,0,0,0,20,74,557,231,191,0,24,27,47,25,173,130,231,0,11,8,53,34,42,42,107,11,11,2,7,5,1,1,39,11,23,40,14,11,3,7,6,1,7,7
2019-Q1,0,80,81,52,0,11,11,16,0,35,34,50,0,0,5,19,51,496,263,282,0,35,27,47,18,213,154,212,0,12,12,46,45,39,44,103,14,14,2,8,9,2,1,48,10,23,37,12,10,3,7,5,2,4,4
2019-Q2,5,94,63,45,0,15,9,12,8,19,25,33,0,0,5,20,69,557,213,231,0,21,27,44,15,178,138,247,0,12,16,36,59,22,31,65,12,14,2,7,9,2,1,62,3,12,16,18,14,4,9,7,2,8,9
2019-Q3,5,77,72,69,0,9,9,20,0,22,24,55,0,0,0,13,45,588,250,206,0,22,22,40,23,191,115,187,0,10,12,36,40,20,25,55,9,14,2,5,9,2,0,41,5,13,20,13,9,4,6,4,2,13,13
2019-Q4,7,92,50,53,0,11,9,15,0,21,24,59,0,0,0,15,15,533,265,177,0,33,32,50,19,206,111,238,0,8,9,40,31,43,40,106,10,14,2,6,9,2,1,34,9,20,33,12,9,3,6,4,1,6,5
2020-Q1,6,103,75,30,0,9,15,19,0,40,12,40,0,0,0,19,31,464,280,177,0,29,26,47,12,150,121,229,0,8,13,52,50,18,29,56,11,14,2,6,9,2,1,47,6,17,26,9,10,3,5,6,2,4,5
2020-Q2,9,60,48,36,0,8,7,18,0,8,18,40,0,0,0,21,34,244,171,97,0,28,35,43,12,98,75,122,0,11,13,46,57,4,13,19,10,14,2,5,9,2,0,62,2,9,12,11,10,3,6,6,2,9,10
2020-Q3,6,62,33,39,0,9,12,15,0,20,17,28,0,0,0,17,48,369,240,171,0,26,27,28,13,190,131,200,0,10,11,36,37,17,20,46,8,14,2,4,9,2,1,44,3,10,15,8,10,3,4,6,2,12,12
2020-Q4,0,62,56,53,0,11,5,22,0,30,37,45,0,0,0,25,40,388,199,141,0,29,35,59,18,168,99,165,0,12,16,52,34,28,32,75,8,14,2,5,9,2,1,39,8,19,30,10,10,3,5,6,2,6,6
